timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/26 21:02:21.786, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:24.832, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:27.881, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:02:30.927, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:02:33.975, 40 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:02:37.022, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:02:40.070, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:02:43.116, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:02:46.164, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:49.212, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:52.259, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:02:55.309, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:02:58.357, 38 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:03:01.402, 38 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:03:04.449, 39 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:03:07.496, 39 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:03:10.546, 40 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:03:13.594, 40 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:03:16.643, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:03:19.691, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:03:22.738, 38 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:03:25.787, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:03:28.833, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:03:31.883, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:03:34.931, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:03:37.979, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:03:41.026, 39 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:03:44.086, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:03:47.132, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:03:50.178, 40 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:03:53.228, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:03:56.274, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:03:59.321, 39 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:02.370, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:04:05.415, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:04:08.486, 40 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:04:11.559, 39 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:04:14.606, 39 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:04:17.655, 39 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:04:20.702, 40 %, 2 %, 11313 MiB, 15360 MiB, 76
