timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/19 12:47:52.460, 41 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:55.507, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:47:58.554, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:48:01.604, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:04.675, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:48:07.770, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:10.860, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:13.918, 37 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:16.976, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:20.020, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:23.077, 35 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:26.127, 38 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:29.183, 37 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:32.244, 38 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:35.315, 38 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:38.379, 34 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:41.425, 38 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:44.488, 34 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:47.537, 35 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:50.586, 38 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:53.642, 32 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:56.710, 45 %, 2 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:48:59.795, 38 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:49:02.877, 36 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:49:05.966, 37 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:49:09.016, 35 %, 1 %, 11313 MiB, 15360 MiB, 36
